stat,sample,category,side,bucket,clusters,events,losing,contracts,rows,mean_c,se_c,t
A,exploration,Commodities,long_yes,4,34,77,12.0,205942.72999999998,2074.0,-0.06778063979243124,2.6002912962955538,-0.026066556423502776
A,all,Commodities,short_yes,0,158,1248,26.0,6066341.31,62680.0,1.353999979437359,0.49912556196003155,2.7127442123386643
A,confirmation,Commodities,short_yes,0,111,1150,20.0,5687414.700000001,59082.0,1.2575007320988925,0.5205464949012133,2.415731821107612
A,exploration,Commodities,short_yes,0,48,98,6.0,378926.61,3598.0,2.8023839761477825,1.1547715632062134,2.4267864445561744
A,all,Commodities,short_yes,1,165,1529,49.0,5541408.849999998,98838.0,-0.9328956010888786,1.8588120764481804,-0.5018773080447466
A,confirmation,Commodities,short_yes,1,113,1402,44.0,5147064.999999997,91719.0,-1.6833310848026934,1.9728511408688765,-0.85324789586574
A,exploration,Commodities,short_yes,1,53,127,5.0,394343.85,7119.0,8.861957831978366,2.518031512592701,3.519399097135848
A,all,Commodities,short_yes,2,168,1955,74.0,13141273.829999976,288887.0,1.799692588857647,1.817908580470386,0.9899796987546945
A,confirmation,Commodities,short_yes,2,114,1797,57.0,12535529.709999975,273222.0,1.202824933514511,1.8287599852484786,0.6577270627184463
A,exploration,Commodities,short_yes,2,55,158,17.0,605744.1200000001,15665.0,14.151528916203102,6.90044242764046,2.0508147216064927
A,all,Commodities,short_yes,3,161,1651,86.0,6172698.960000008,121323.0,4.1834208030128766,1.8851345547105423,2.2191629730405267
A,confirmation,Commodities,short_yes,3,113,1518,67.0,5849017.6600000085,115021.0,3.49540097131455,1.9508121004673726,1.7917671161036612
A,exploration,Commodities,short_yes,3,49,133,19.0,323681.30000000005,6302.0,16.616144429721448,8.105448224630043,2.0499969858828946
A,all,Commodities,short_yes,4,148,1443,106.0,6656593.259999997,82782.0,0.2358135386508481,0.5626211171943579,0.4191338210460133
A,confirmation,Commodities,short_yes,4,110,1332,83.0,6341594.919999998,79857.0,0.20544597824926725,0.5830542545168365,0.35236168273828233
A,exploration,Commodities,short_yes,4,39,111,24.0,314998.34,2925.0,0.8471779248106506,2.0364321688579166,0.41601087321546776
A,all,Companies,long_yes,0,4,15,4.0,15611.28,101.0,-3.369669879727992,1.627328346043911,-2.0706760795507377
A,confirmation,Companies,long_yes,0,1,1,1.0,3702.2800000000007,9.0,-2.040326501507179,,
A,exploration,Companies,long_yes,0,3,14,3.0,11909.0,92.0,-3.7829372743303393,2.2277666449257314,-1.6980850678175288
A,all,Companies,long_yes,1,4,4,3.0,309164.0,696.0,-14.803298572925694,0.718816338494072,-20.593992902190795
A,confirmation,Companies,long_yes,1,1,1,1.0,15.0,1.0,-11.0,,
A,exploration,Companies,long_yes,1,3,3,2.0,309149.0,695.0,-14.803483110086072,0.7622985642923643,-19.41953429208938
A,all,Companies,long_yes,2,2,2,1.0,98489.0,862.0,-12.897612931393365,7.7174605332951565,-1.671224993733323
A,exploration,Companies,long_yes,2,2,2,1.0,98489.0,862.0,-12.897612931393365,7.7174605332951565,-1.671224993733323
A,all,Companies,long_yes,3,2,2,0.0,32362.0,271.0,15.10175514492306,10.000946182473552,1.5100326378506634
A,exploration,Companies,long_yes,3,2,2,0.0,32362.0,271.0,15.10175514492306,10.000946182473552,1.5100326378506634
A,all,Companies,long_yes,4,1,1,0.0,133247.0,366.0,3.7571127304929943,,
A,exploration,Companies,long_yes,4,1,1,0.0,133247.0,366.0,3.7571127304929943,,
A,all,Companies,short_yes,0,4,11,0.0,24581.53,216.0,4.6255733471431615,0.3397979458148859,13.612717216551589
A,confirmation,Companies,short_yes,0,1,1,0.0,906.53,15.0,5.71924812195956,,
A,exploration,Companies,short_yes,0,3,10,0.0,23675.0,201.0,4.583695881731786,0.39534426727245553,11.594188309230963
A,all,Companies,short_yes,1,4,6,1.0,508061.0,2454.0,13.745164458598481,3.7144307336020264,3.7004767202292843
A,confirmation,Companies,short_yes,1,1,1,0.0,55.0,2.0,16.981818181818184,,
A,exploration,Companies,short_yes,1,3,5,1.0,508006.0,2452.0,13.744814037629482,3.9404631148864744,3.488121481382138
A,all,Companies,short_yes,2,2,2,1.0,129533.0,2107.0,13.21672469563741,2.3884495692377974,5.533600066697299
A,exploration,Companies,short_yes,2,2,2,1.0,129533.0,2107.0,13.21672469563741,2.3884495692377974,5.533600066697299
A,all,Companies,short_yes,3,2,2,2.0,54231.0,440.0,-19.329774483229148,2.7914727496788796,-6.924579323030387
A,exploration,Companies,short_yes,3,2,2,2.0,54231.0,440.0,-19.329774483229148,2.7914727496788796,-6.924579323030387
A,all,Companies,short_yes,4,2,2,1.0,75464.0,372.0,-1.4723974345383228,0.051665640535640024,-28.4985808609618
A,exploration,Companies,short_yes,4,2,2,1.0,75464.0,372.0,-1.4723974345383228,0.051665640535640024,-28.4985808609618
A,all,Crypto,long_yes,0,259,12399,186.0,178384574.3800008,1692603.0,0.7590563463732025,0.6155367263293369,1.2331617495835283
